x,y,vx,vy,r,t,name
-2103.635168816198,2.5762100760645584e-13,-0.024347629268705994,2.9817246250747205e-18,2103.635168816198,86400,Sun
-6311.131636608299,14.022112947413447,-0.0486978757846308,0.0001622929739283934,6311.147213799537,172800,Sun
-12622.251808244975,56.13441191902204,-0.07304537235690596,0.00048741086772695135,12622.376629737564,259200,Sun
-21036.286504314503,140.42637960104088,-0.09738466083413806,0.0009756014778011437,21036.755202732485,345600,Sun
-31552.048716602476,280.9830682074862,-0.12171021079037007,0.0016268135255375618,31553.29982267267,432000,Sun
-44167.86918778329,491.8580819596043,-0.14601644063866684,0.0024406830295384038,44170.60779479863,518400,Sun
-58881.5940199325,787.0455288396106,-0.1702977411128381,0.003416521375925998,58886.853838463954,604800,Sun
-75690.58450544681,1180.4511237894772,-0.19454850098974902,0.004553305497104937,75699.78895368097,691200,Sun
-94591.71935659065,1685.862660809185,-0.21876313485120186,0.005849670567357728,94606.74132294758,777600,Sun
-115581.39948589716,2316.920105322429,-0.24293611260771425,0.007303905607792179,115604.61939686058,864000,Sun
-138655.55545900002,3087.0855894054166,-0.26706199042943146,0.008913952362071613,138689.9172870189,950400,Sun
-163809.6577044028,4009.6136196309853,-0.291135442655125,0.01067740775724038,163858.7225588322,1036800,Sun
-191038.72952175548,5097.521828974955,-0.3151512941823224,0.012591530200740388,191106.72648047563,1123200,Sun
-220337.36288227793,6363.562619141903,-0.3391045527838245,0.014653249886191542,220429.23674305176,1209600,Sun
-251699.73696323985,7820.196046620289,-0.3629904407518742,0.016859183188407248,251821.19262201048,1296000,Sun
-285119.6393043579,9479.564303830139,-0.3868044252444214,0.019205651125114,285277.18250227725,1382400,Sun
-320590.4894193307,11353.46813524722,-0.4105422467010745,0.02168870175251252,320791.4636408271,1468800,Sun
-358105.36464239686,13453.345507116273,-0.43419994471141365,0.024304136248484424,358357.9839922614,1555200,Sun
-397657.02793974045,15790.252818464125,-0.4577738807562912,0.027047538325785322,397970.40587704326,1641600,Sun
-439237.95737074467,18374.84890119672,-0.4812607573032899,0.02991430651310877,439622.1312301804,1728000,Sun
-482840.3768463155,21217.382009156532,-0.5046576328191069,0.03289968874953485,483306.32813197724,1814400,Sun
-528456.2878023477,24327.67994157624,-0.5279619323614829,0.03599881866226513,529015.958293488,1900800,Sun
-576077.501387122,27715.143387179312,-0.5511714535274799,0.03920675284262817,576743.8051486998,1987200,Sun
-625695.6707528249,31388.74251328671,-0.5742843676585981,0.042518508404020806,626482.5021941098,2073600,Sun
-677302.3230438206,35357.01676187346,-0.5972992163309684,0.04592910009938375,678224.5612146874,2160000,Sun
-730888.890687641,39628.077753784964,-0.620214903284959,0.049433576295271967,731962.400043247,2246400,Sun
-786446.7416182668,44209.615145379066,-0.6430306820674282,0.05302705314345023,787688.3695175976,2332800,Sun
-843967.2080940859,49108.90523060631,-0.6657461397664253,0.056704746356796835,845394.7793256561,2419200,Sun
-903441.6138135073,54332.822037569305,-0.688361177308117,0.060462000080590265,905073.922461873,2505600,Sun
-964861.2990778522,59887.85063312784,-0.7108759868558433,0.06429431244859415,966718.0980573687,2592000,Sun
-1028217.6438019659,65780.10232292741,-0.733291026899464,0.06819735752082838,1030319.6323895226,2678400,Sun
-1093502.0882260196,72015.33141767382,-0.7556069956487697,0.07216700341141674,1095870.897922681,2764800,Sun
-1160706.151235301,78598.9532294753,-0.7778248033481652,0.07619932652548018,1163364.3302784536,2851200,Sun
-1229821.4462466326,85536.06296415695,-0.7999455441126335,0.08029062192918575,1232792.443080167,2937600,Sun
-1300839.694668839,92831.45518581783,-0.8219704678496103,0.08443740997292684,1304147.8406599592,3024000,Sun
-1373752.7369891137,100489.64354748941,-0.8439009527809579,0.08863643937119882,1377423.2286575476,3110400,Sun
-1448552.541576203,108514.88050532308,-0.8657384790172377,0.09288468701196376,1452611.4225758938,3196800,Sun
-1525231.2113243577,116911.1767619455,-0.887484603566605,0.09717935482201896,1529705.354390129,3283200,Sun
-1603780.98828863,125682.32021610909,-0.9091409370864862,0.1015178640528192,1608698.0773317781,3369600,Sun
-1684194.2564822244,134831.89422920943,-0.9307091226110462,0.10589784737384639,1689582.768990365,3456000,Sun
-1766463.5430204137,144363.29505341922,-0.952190816414228,0.11031713916909476,1772352.7328889454,3542400,Sun
-1850581.5178033875,154279.74830001034,-0.9735876710992328,0.11477376442813803,1857001.398699259,3628800,Sun
-1936540.9919328236,164584.32435898218,-0.9949013209425459,0.11926592660847052,1943522.3212664337,3715200,Sun
-2024334.9150546244,175279.95271163995,-1.0161333694652883,0.12379199482242781,2031909.1786130127,3801600,Sun
-2113956.371813836,186369.43510570753,-1.0372853791575407,0.12835049067207852,2122155.7690881076,3888000,Sun
-2205398.577598,197855.4575875252,-1.0583588632426353,0.1329400750210379,2214256.0078203357,3974400,Sun
-2298654.873732815,209740.6014076386,-1.079355279338136,0.13755953495501633,2308203.922623489,4060800,Sun
-2393718.722279675,222027.35283453975,-1.1002760248479138,0.14220777114468908,2403993.649492226,4147200,Sun
-2490583.700569042,234718.111926494,-1.1211224339047139,0.14688378578650726,2501619.4278120166,4233600,Sun
-2589243.4955872847,247815.2003233964,-1.1418957756741064,0.1515866712604444,2601075.5953936414,4320000,Sun
-2689691.898318008,261320.86812963212,-1.1625972538278164,0.15631559960920963,2702356.583428167,4406400,Sun
-2791922.798122482,275237.2999652056,-1.1832280069962242,0.16106981291173048,2805456.911443875,4492800,Sun
-2895930.1772278138,289566.6202662199,-1.2037891100154166,0.16584861459507272,2910371.182332439,4579200,Sun
